CountryCode,CountryName,IndicatorCode,IndicatorName,Year,Value
BR,Brazil,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,10310.5486973693
BR,Brazil,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,10377.5892792557
BR,Brazil,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,9281.33334441234
BR,Brazil,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,7972.5366498646
BR,Brazil,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,7074.19378337644
CN,China,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,13861.970224368
CN,China,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,13293.1162269366
CN,China,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,12951.1782397043
CN,China,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,12970.6056414327
CN,China,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,12887.4357242941
CN,China,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,10627.4637989619
DE,Germany,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,60496.4350820414
DE,Germany,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,56103.7323182554
DE,Germany,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,54776.7668235491
DE,Germany,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,50506.5179638543
DE,Germany,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,52349.2459994422
DE,Germany,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,47394.8734504469
GB,United Kingdom,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,57601.9621201954
GB,United Kingdom,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,53341.3131094262
GB,United Kingdom,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,49919.6896621586
GB,United Kingdom,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,47034.7795621476
GB,United Kingdom,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,47695.6491523474
GB,United Kingdom,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,40815.1255364787
IN,India,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,2702.47987141553
IN,India,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,2591.9916607122
IN,India,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,2434.44826340989
