CountryCode,CountryName,Year,Current_Account,FDI_Inflows,GDP_Growth,GDP_per_Capita,Govt_Debt,Inflation,Unemployment
ARE,United Arab Emirates,2020,13.1295797567307,5.56735667729859,-8.69343363776639,37991.738387966,-0.158257983947341,-2.07940317940944,4.294
ARE,United Arab Emirates,2021,13.1295797567307,4.89230595097426,4.55280140106356,44118.4936214315,1.57508528702397,0.179935336174431,3.105
ARE,United Arab Emirates,2022,13.1295797567307,4.44591398367961,7.51452414254605,50759.7590190204,0.907809297881396,5.29122604376849,2.872
ARE,United Arab Emirates,2023,13.1295797567307,5.87183983564899,4.30113648499413,49850.6945082084,1.49444647701173,1.62670837213248,2.151
ARE,United Arab Emirates,2024,14.4792979326645,8.26261604873876,3.99181200361831,50273.5126243239,1.27158921671582,1.66336510224894,2.16
ARE,United Arab Emirates,2025,14.4792979326645,8.26261604873876,3.99181200361831,50273.5126243239,1.27158921671582,1.250865245598,2.174
BRA,Brazil,2020,-1.64103541830151,2.59263795310275,-3.2767587964736,7074.19378337644,-3.57855007970056,3.21176803803376,13.697
BRA,Brazil,2021,-2.35822097223117,2.77979084938159,4.76260437908608,7972.5366498646,2.68673261538923,8.30165975585673,13.158
BRA,Brazil,2022,-2.14967698505073,3.8680317970139,3.01669435393015,9281.33334441234,0.404972063324474,9.28010608956873,9.231
BRA,Brazil,2023,-1.23139445763703,2.86383344298207,3.24165532906981,10377.5892792557,-0.508795535226929,4.59356282283204,7.947
BRA,Brazil,2024,-2.9880142706208,3.38960808548439,3.41931516501906,10310.5486973693,1.52640208253162,4.36746407652337,6.801
BRA,Brazil,2025,-2.92630139201733,3.40696865505948,2.2857464902475,10713.2856869511,1.52640208253162,5.01675279604836,5.97
CHN,China,2020,1.49179592498582,1.68770756292082,2.33950385203023,10627.4637989619,1.27158921671582,2.41942189457782,5.0
CHN,China,2021,1.6339546037037,1.8903454142588,8.57038414981781,12887.4357242941,1.27158921671582,0.981015135544882,4.55
CHN,China,2022,2.20640460953834,1.03841365474349,3.13385438394069,12970.6056414327,1.27158921671582,1.97357555739051,4.98
CHN,China,2023,1.40681103517507,0.280991103634816,5.41600334492955,12951.1782397043,1.27158921671582,0.234836828893051,4.67
CHN,China,2024,2.46818591485776,0.227695125306895,4.95830378788091,13293.1162269366,1.27158921671582,0.218128938439177,4.59
CHN,China,2025,3.76972243689338,0.410194399848574,4.95994886240992,13861.970224368,1.27158921671582,0.0595646916565403,4.615
DEU,Germany,2020,6.34782686016016,4.48523547812751,-4.13191443239947,47394.8734504469,1.27158921671582,0.144877925813982,3.881
DEU,Germany,2021,6.92006966375342,2.93002168676674,3.90999994204108,52349.2459994422,1.27158921671582,3.06666666666673,3.594
DEU,Germany,2022,4.11376375249819,1.82269397984058,1.8092581243061,50506.5179638543,1.27158921671582,6.87257438551097,3.137
DEU,Germany,2023,5.50327392607703,1.99210813981277,-0.869647578573321,54776.7668235491,1.27158921671582,5.94643667725823,3.071
DEU,Germany,2024,5.89380863529108,1.33680512940413,-0.495851897260366,56103.7323182554,1.27158921671582,2.2564981433876,3.4
DEU,Germany,2025,4.50585617378113,1.88462297077013,0.239578342117881,60496.4350820414,1.27158921671582,2.17178770949721,3.711
GBR,United Kingdom,2020,-2.92883387550299,5.77039185007421,-10.047896637362,40815.1255364787,3.91260966150834,0.989486703772491,4.472
GBR,United Kingdom,2021,-0.752836357784013,3.20643815254935,8.5431118453255,47695.6491523474,1.26222094398989,2.51837109614213,4.864
GBR,United Kingdom,2022,-2.06737101121871,2.91635435189931,5.14970388522993,47034.7795621476,-1.09405493870665,7.92204883147902,3.768
GBR,United Kingdom,2023,-3.57676183842871,0.403116734836793,0.271650048355255,49919.6896621586,0.500551565967726,6.79396706793963,4.025
GBR,United Kingdom,2024,-2.95960422411904,-0.350561573947678,1.08027716858781,53341.3131094262,0.0247281289210512,3.2715729463592,4.361
GBR,United Kingdom,2025,-2.42693271936225,1.91447167382408,1.38844207858726,57601.9621201954,0.0247281289210512,3.88306881626,4.746
